Author,Full name and years of living,Gender,Country of origin
ALCOTT,Louisa May Alcott (1832 – 1888),F,USA
ALDIS,Mary Reynolds Aldis (1872 – 1949),F,USA
ALGER_JR_AND_CH,Horatio Alger Jr. (1832 – 1899),M,USA
ALGER_JR_AND_CH,Olive Augusta Alger Cheney (1833 – 1916),F,USA
ANCEY,Georges Ancey (1860 – 1917),M,France
ANDREYEV,Leonid Nikolaievich Andreyev (1871 – 1919),M,Russia (Russian Empire)
ANSTEY,"F. Anstey, pseudonym for Thomas Anstey Guthrie (1856 – 1934)",M,England
ASCH,Sholem Asch (1880 – 1957),M,Poland; worked in England
BAKER,George Melville Baker (1832 – 1890),M,USA
BANGS,John Kendrick Bangs (1862 – 1922),M,USA
BARRIE,Sir James Matthew Barrie (1860 – 1937),M,Scotland
BARROW,Frances Elizabeth Barrow (1822 – 1894),F,USA
BEACH,Lewis Beach (1891 – 1947),M,USA
BELL,"Dame Florence Eveleen Eleanore, Lady Bell (née Olliffe; 1851 – 1930) ",F,France
BENEVENTE,Jacinto Benavente y Martínez (1866 – 1954),M,Spain
BENNETT,Enoch Arnold Bennett (1867 – 1931),M,England
BESIER,Rudolf Wilhelm Besier (1878 – 1942),M,"Indonesia (East Java, Dutch East Indies)"
BIRD,Lajos Bíró (1880 – 1948),M,"Romania (Kingdom of Hungary, Austro-Hungarian Empire)"
BLACKWOOD,Algernon Henry Blackwood (1869 – 1951),M,England
BOTTOMLEY,Gordon Bottomley (1874 – 1948),M,England
BRIEUX,Eugène Brieux (1858 – 1932),M,France
BRIGHOUSE,Harold Brighouse (1882 – 1958),M,England
BROOKS,Charles Stephen Brooks (1878 – 1934),M,USA
BUTLER,Ellis Parker Butler (1869 – 1937),M,USA
CALDERON,George Leslie Calderon (1868 – 1915),M,England
CANNAN,Gilbert Eric Cannan (1884 – 1955),M,England
CARTON,"R. C. Carton (born Richard Claude Critchett, 1853 – 1928)",M,England
CHAPIN,Harold Chapin (1886 – 1915),M,USA
CHAPMAN,John Jay Chapman (1862 – 1933),M,USA
CHEKHOV,Anton Pavlovich Chekhov (1860 – 1904),M,Russia (Russian Empire)
CLEMENTS,Colin Campbell Clements (1894 – 1948),M,USA
COLUM,Padraic Colum (1881 – 1972),M,Ireland
CONRAD,Joseph Conrad (born Józef Teodor Konrad Korzeniowski; 1857 – 1924),M,Ukraine (Russian Empire)
COYNE,Joseph Stirling Coyne (1803 – 1868),M,Ireland
CROCKER,"Bosworth Crocker, pseudonym for Mary Arnold Crocker Childs Lewisohn (1861 – 1946)",F,USA
CRONYN,George William Cronyn (1888 – 1969),M,USA
"TILFORD_DARGAN, PETERSON_AND_TI",Olive Tilford Dargan (1869 – 1968),F,USA
DARWIN,"Florence Henrietta Darwin, Lady Darwin (née Fisher, previously Maitland: 1864 – 1920)",F,England
DAVIES,Mary Carolyn Davies (1888 – ?),F,USA
DAY,Frederic Lansing Day (1890 – 1981),M,USA
DENISON,Thomas Stewart Denison (1848 – 1911),M,USA
DIAZ,Abby Morton Diaz (1821 – 1904),F,USA
DICKENS,Charles Dickens (1812 – 1870),M,England
DIX,Beulah Marie Dix (1876 – 1970),F,USA
DOWN,William Oliphant Down (1885 – 1917),M,England
DREISER,Theodore Dreiser (1871 – 1945),M,USA
DUMONT,Frank Dumont (1848 – 1919),M,USA
DUNSANY,"Lord Dunsany (Edward John Moreton Drax Plunkett, 18th Baron of Dunsany) (1878 – 1957)",M,Ireland
ELLIS,Walter W. Ellis (1874 – 1956),M,England
ETTLINGER,Karl Ettlinger (1882 – 1939),M,Germany
FERGUSON,John Alexander Ferguson (1871 – 1952),M,Scotland
FLANNER,Hildegarde Flanner (1899 – 1987),F,USA
FLECKER,James Elroy Flecker (1884 – 1915),M,England
GALSWORTHY,John Galsworthy (1867 – 1933),M,England
GEORGES_DE_PORT,Georges de Porto-Riche (1849 – 1930),M,France
GERSTENBERG,Alice Erya Gerstenberg (1885 – 1972),F,USA
GIACOSA,Giuseppe Giacosa (1847 – 1906),M,Italy
GILBERT,W. S. (William Schwenck) Gilbert (1836 – 1911),M,England
GLASPELL,Susan Keating Glaspell (1876 – 1948),F,USA
GOODMAN,Kenneth Sawyer Goodman (1883 – 1918),M,USA
"GREGORY, GREGORY_AND_YEA","Isabella Augusta, Lady Gregory (née Persse; 1852 – 1932)",F,Ireland
GRIMK,Angelina Weld Grimké (1880 – 1958),F,USA
GRUMBINE,Ezra Light Grumbine (1845 – 1923),M,USA
GRUNDY,Sydney Grundy (1848 – 1914),M,England
GUPTILL,Elizabeth F. Guptill,F,N/A
HAGEDORN,Hermann Hagedorn (1882 – 1964),M,USA
HALBE,Max Halbe (1865 – 1944),M,Germany (Prussia)
HANKIN,St. John Emile Clavering Hankin (1869 – 1909),M,England
HARE,Walter Ben Hare (1880 – 1950),M,USA
HELBURN,Theresa Helburn (1887 – 1959),F,USA
HOUSMAN,Laurence Houseman (1865 – 1959),M,England
HUGHES_AND_HURS,Langston Hughes (1901 – 1967),M,USA
HUGHES_AND_HURS,Zora Neal Hurston (1891 – 1960),F,USA
IBSEN,Henrik Ibsen (1828 – 1906),M,Norway
KAMBAN,Guðmundur Kamban (1888 – 1945),M,Iceland
LAGERLF,Selma Lagerlöf (1858 – 1940),F,Sweden
LANGNER,Lawrence Langner (1890 – 1962),M,Wales
LAWRENCE,D. H. (David Herbert) Lawrence (1885 – 1930),M,England
LONDON,Jack London (1876 – 1916),M,USA
MACKAYE,Percy Mackaye (1875 – 1956),M,USA
MACMILLAN,Mary Louise MacMillan (1870 – 1936),F,N/A
MAETERLINCK,Maurice Polydore Marie Bernard Maeterlinck (1862 – 1949),M,Belgium
MARKS,Jeannette Augustus Marks (1875 – 1964),F,USA
MAUGHAM,William Somerset Maugham (1874 – 1965),M,England
